text,label,category
выявлен брак пайки платы 102 требуется переделка,2,Брак / качество
несоответствие параметров фильтра 203 номиналу,2,Брак / качество
выявлен брак сварного шва изделии 12,2,Брак / качество
обнаружен дефект покрытия труб партии 6,2,Брак / качество
выявлен брак нарезки резьбы метчиком партия 12,2,Брак / качество
обнаружены включения шлака сварном шве изделии 12,2,Брак / качество
выявлена некондиция 7 процентов изделий партии 103,2,Брак / качество
несоответствие суммарного зазора сборке 9 чертежу,2,Брак / качество
отклонение по твердости деталей партии 104,2,Брак / качество
выявлен брак при сборке редуктора 103,2,Брак / качество
выявлена деформация резьбы болтов партии 102,2,Брак / качество
несоответствие балансировки ротора 3 требованиям,2,Брак / качество
выявлен брак гибки труб партии 101,2,Брак / качество
несоответствие длины кабеля 102 номинальному значению,2,Брак / качество
несоответствие геометрии профиля проката партии 6,2,Брак / качество
несоответствие характеристик электродвигателя 25 паспорту,2,Брак / качество
несоответствие покрытия деталей стандарту 105,2,Брак / качество
выявлен брак термообработки деталей партии 8,2,Брак / качество
несоответствие веса отливок партии 6 норме,2,Брак / качество
обнаружен облой на литых деталях партии 20,2,Брак / качество
несоответствие кривизны вала 15 допустимым значениям,2,Брак / качество
несоответствие цвета маркировки проводов партии 9,2,Брак / качество
царапины на поверхности готовых изделий партии 102,2,Брак / качество
испытаниях насос н 104 не выдерживает давление конструкторский дефект,2,Брак / качество
выявлен брак анодирования алюминиевых деталей партии 25,2,Брак / качество
несоответствие допусков резьбовых соединений партии 8,2,Брак / качество
несоответствие параметров клапана 103 рабочему давлению,2,Брак / качество
выявлен скол керамического покрытия деталях 11,2,Брак / качество
выявлен брак при намотке трансформатора 203,2,Брак / качество
выявлены трещины при ультразвуковом контроле партии 201,2,Брак / качество
отверстия деталях партии 201 не соответствуют чертежу,2,Брак / качество
несоответствие усилия пружин партии 2 техническому заданию,2,Брак / качество
выявлен брак штамповки партия 8,2,Брак / качество
несоответствие химического состава материала партии 203,2,Брак / качество
отслоение защитного покрытия деталей партии 2,2,Брак / качество
несоответствие параметров насоса 202 техническому заданию,2,Брак / качество
выявлены поры сварном шве изделии 11,2,Брак / качество
несоответствие маркировки изделий партии 15 стандарту,2,Брак / качество
требуется новый комплект метчиков плашек,3,Снабжение / расходники
необходимо заказать твердосплавные пластины токарных работ,3,Снабжение / расходники
закончились резцы токарного станка 9,3,Снабжение / расходники
нужна сварочная проволока 3 7 мм сборочного цеха,3,Снабжение / расходники
закупить новую партию фрез механического цеха,3,Снабжение / расходники
приобрести новый компрессор взамен вышедшего строя,3,Снабжение / расходники
закончилась сталь numх диаметром numмм механического цеха 30,3,Снабжение / расходники
необходима партия труб диаметром 205 мм,3,Снабжение / расходники
нет чистящих средств для оборудования цеха 104,3,Снабжение / расходники
нет герметика для сборки узлов линии 11,3,Снабжение / расходники
необходима поставка графитовых смазок для узлов 7,3,Снабжение / расходники
закончились насадки для дрели 102 типоразмер,3,Снабжение / расходники
закончились фрезы концевые диаметром 22 мм,3,Снабжение / расходники
требуется партия электродов для сварки 15,3,Снабжение / расходники
требуется поставка подшипников 205 для ремонта,3,Снабжение / расходники
нет бумажных полотенец технических для уборки масла,3,Снабжение / расходники
нет кислоты для травления деталей партии 102,3,Снабжение / расходники
требуется поставка медной шины для электромонтажа,3,Снабжение / расходники
закончились перчатки для рабочих цеха 20,3,Снабжение / расходники
нет проволоки для вязки арматуры строительство 5,3,Снабжение / расходники
необходимо пополнить запас бумаги для документации,3,Снабжение / расходники
нет смазочных материалов для станков цеха 9,3,Снабжение / расходники
необходимо заказать клей для ремонта конвейера 5,3,Снабжение / расходники
необходима поставка латексных перчаток для лаборатории,3,Снабжение / расходники
требуется поставка фильтрующих элементов 8,3,Снабжение / расходники
нет клеммников для электромонтажа щитка 105,3,Снабжение / расходники
требуется заказать пружины для узлов станка 25,3,Снабжение / расходники
требуется заказать листовой металл для изготовления 25,3,Снабжение / расходники
закончились абразивные лепестки для шлифовки 9,3,Снабжение / расходники
нет рабочей жидкости для гидравлического пресса 105,3,Снабжение / расходники
требуется поставка газовых баллонов для сварки,3,Снабжение / расходники
закончилось охлаждающее масло для токарных станков,3,Снабжение / расходники
закончились сверла диаметром 30 мм участке 16,3,Снабжение / расходники
закончились хомуты для крепления трубопроводов 205,3,Снабжение / расходники
нет паяльного флюса для ремонта плат цеха 30,3,Снабжение / расходники
закончилась лента фум для монтажа трубопроводов,3,Снабжение / расходники
закончились маркеры для маркировки кабелей 15,3,Снабжение / расходники
требуется поставка ремней привода для станков 12,3,Снабжение / расходники
требуется заказать алмазные круги для резки 8,3,Снабжение / расходники
закончились изолента и кабельные стяжки на складе,3,Снабжение / расходники
необходима поставка крепежа болты м 5,3,Снабжение / расходники
нет деревянных поддонов для хранения деталей склад,3,Снабжение / расходники
требуется поставка шлифовальных кругов 24,3,Снабжение / расходники
закончились дюбели и анкеры для монтажа оборудования,3,Снабжение / расходники
закончилась краска для маркировки деталей,3,Снабжение / расходники
закончилась наждачная бумага зернистость 22,3,Снабжение / расходники
отсутствуют прокладки для насосов склад пуст,3,Снабжение / расходники
необходимо пополнить запас воздушных фильтров 3,3,Снабжение / расходники
закончились резиновые коврики у станков цеха 201,3,Снабжение / расходники
требуется заказать прокладки паронит для фланцев 2,3,Снабжение / расходники
закончилось масло для гидравлики пресса 204,3,Снабжение / расходники
нет упаковочных материалов для готовой продукции,3,Снабжение / расходники
необходима поставка виброгасящих прокладок 4,3,Снабжение / расходники
требуется поставка нержавеющих хомутов 5 дюйм,3,Снабжение / расходники
нет изоляционных колпачков для клемм щитка 102,3,Снабжение / расходники
требуется заказать катанку 6 для производства,3,Снабжение / расходники
закончились защитные очки для рабочих цеха 202,3,Снабжение / расходники
закончились термоусадочные трубки для изоляции 103,3,Снабжение / расходники
нет клеящей ленты для упаковки изделий склада 16,3,Снабжение / расходники
срочно требуется сварочная проволока св 5Ас сборочного цеха,3,Снабжение / расходники
необходимо пополнение запаса расходных материалов,3,Снабжение / расходники
закончились люминофоры для маркировки трубопроводов,3,Снабжение / расходники
закончились пластиковые лотки для деталей сборки 101,3,Снабжение / расходники
требуется поставка метизов для сборочного цеха,3,Снабжение / расходники
необходимо пополнить запас уплотнительных колец 3,3,Снабжение / расходники
нет антикоррозийного покрытия для деталей партии 15,3,Снабжение / расходники
нет ацетона для обезжиривания деталей цеха 15,3,Снабжение / расходники
требуется поставка пластиковых заглушек диаметр 101,3,Снабжение / расходники
требуется заказать уголки крепежные для конструкции 20,3,Снабжение / расходники
необходима поставка шпилек резьбовых м 24,3,Снабжение / расходники
нет кабельных каналов для прокладки проводки 9,3,Снабжение / расходники
необходима поставка контактной смазки для щитков,3,Снабжение / расходники
требуется заказать стальной трос диаметром 25 мм,3,Снабжение / расходники
необходима поставка сигнальных лент ограждения,3,Снабжение / расходники
необходима поставка алюминиевых профилей для монтажа,3,Снабжение / расходники
нет защитных экранов для станков участка 204,3,Снабжение / расходники
оформление допуска высотным работам 1,4,Охрана труда
провести внеплановый инструктаж технике безопасности,4,Охрана труда
требуется установить перила лестнице участка 103,4,Охрана труда
не обеспечены работники специальным питанием вредные условия 105,4,Охрана труда
отсутствуют знаки безопасности на электрощитах 4,4,Охрана труда
сотрудник 103 получил травму требуется оформление документов,4,Охрана труда
требуется оформить акт расследования несчастного случая 205,4,Охрана труда
превышение уровня шума на рабочем месте 25,4,Охрана труда
не работает система вентиляции в зоне сварки 201,4,Охрана труда
не соблюдаются нормы температуры воздуха рабочем месте 9,4,Охрана труда
нарушение правил транспортировки баллонов со сжатым газом,4,Охрана труда
требуется обновить инструкции по охране труда 201,4,Охрана труда
отсутствует сигнализация превышения температуры зоны 102,4,Охрана труда
нарушение регламента работ в замкнутых пространствах 11,4,Охрана труда
нарушение правил безопасной эксплуатации котлов 4,4,Охрана труда
нарушение при работе с грузами вручную зона 10,4,Охрана труда
нарушение правил безопасности при химической обработке 16,4,Охрана труда
не выданы средства защиты органов слуха рабочим 6,4,Охрана труда
нарушение правил безопасного подъема по лестнице 20,4,Охрана труда
отсутствуют средства индивидуальной защиты рабочих 1 участка,4,Охрана труда
требуется провести расследование микроповреждения сотрудника 105,4,Охрана труда
не оформлена карта специальной оценки рабочего места 205,4,Охрана труда
требуется оформить наряд допуск на огневые работы 105,4,Охрана труда
нарушение маршрута движения транспорта на территории 9,4,Охрана труда
требуется оборудовать место для курения по нормам 24,4,Охрана труда
истек срок обучения первой помощи для сотрудников 201,4,Охрана труда
отсутствует журнал регистрации инструктажей участка 6,4,Охрана труда
истек срок действия допуска на электромонтажные работы 24,4,Охрана труда
не ведется журнал регистрации аварий и инцидентов 4,4,Охрана труда
требуется установить защитные барьеры у конвейера 204,4,Охрана труда
требуется провести спецоценку условий труда участок 102,4,Охрана труда
не укомплектована аптечка первой помощи 10 участке,4,Охрана труда
нарушение ведения сменного журнала охраны труда 203,4,Охрана труда
нарушение складирования материалов превышена высота 102,4,Охрана труда
истек срок проверки знаний по охране труда отдела 24,4,Охрана труда
не работает душевая для работников вредных производств 101,4,Охрана труда
требуется заменить предупреждающие знаки безопасности 7,4,Охрана труда
необходим внеплановый инструктаж после изменения технологии,4,Охрана труда
требуется установка ограждения опасной зоны станка 5,4,Охрана труда
не установлен тревожный знак у неисправного оборудования 12,4,Охрана труда
отсутствует плакат по охране труда на участке 201,4,Охрана труда
не укомплектован пожарный щит участка 6,4,Охрана труда
нарушение при использовании грузоподъемных механизмов 25,4,Охрана труда
не работает сигнализация загазованности помещения 201,4,Охрана труда
нарушение хранения опасных химических веществ склад 24,4,Охрана труда
истек срок инструктажа по пожарной безопасности цеха 1,4,Охрана труда
истек срок поверки газоанализатора 101 участка,4,Охрана труда
отсутствует ограждение траншеи у входа 11 опасно,4,Охрана труда
требуется внеплановый медосмотр сотрудников участка 22,4,Охрана труда
требуется проведение пожарно тактических учений цеха 1,4,Охрана труда
обнаружено нарушение при проверке охраны труда цеха 4,4,Охрана труда
нарушение правил безопасности при работе электроинструментом,4,Охрана труда
требуется замена защитного кожуха станка 12,4,Охрана труда
требуется замена промышленных противогазов срок истек 205,4,Охрана труда
нарушение правил работы на высоте участок 203,4,Охрана труда
истек срок поверки средств измерений опасных факторов 202,4,Охрана труда
требуется оформить допуск к самостоятельной работе 10,4,Охрана труда
отсутствует рубильник аварийного отключения станка 8,4,Охрана труда
требуется обновить план эвакуации на этаже 2,4,Охрана труда
провести замену огнетушителей цехах срок годности истек,4,Охрана труда
истек срок поверки защитных касок цеха 8,4,Охрана труда
необходима противогазы для рабочих зоны 205,4,Охрана труда
отсутствует маркировка трубопроводов опасных веществ 30,4,Охрана труда
не закреплено оборудование 3 возможно опрокидывание,4,Охрана труда
не пройден медосмотр сотрудником 3 допуск закрыт,4,Охрана труда
требуется проверка состояния лесов строительных объекта 105,4,Охрана труда
требуется проверка исправности аварийного душа 22,4,Охрана труда
не проведена оценка рисков нового рабочего места 203,4,Охрана труда
не пройдено обучение по электробезопасности группа 3,4,Охрана труда
требуется повторный инструктаж после несчастного случая 201,4,Охрана труда
не выдана спецодежда новому сотруднику 25,4,Охрана труда
нарушена периодичность осмотров страховочных привязей 201,4,Охрана труда
истек срок действия удостоверения по охране труда сотрудника 5,4,Охрана труда
не проведена проверка устойчивости стеллажей склада 5,4,Охрана труда
требуется актуализировать перечень должностей с вредными условиями,4,Охрана труда
превышение предельно допустимой концентрации пыли цех 103,4,Охрана труда
неправильно начислена премия февраль сотрудников цеха 22,5,Кадры / HR
задержка аванса март сотрудники не получили выплату,5,Кадры / HR
требуется сварщик 25 разряда сборочный цех,5,Кадры / HR
прием работу нового инженера технолога,5,Кадры / HR
оформление отпуска сотрудника петрова,5,Кадры / HR
не заполнена личная карточка т 6 при приеме,5,Кадры / HR
не зарегистрирован новый сотрудник 9 в системе,5,Кадры / HR
требуется изменить график работы отдела 24,5,Кадры / HR
требуется приказ о временном исполнении обязанностей 204,5,Кадры / HR
ошибка в начислении районного коэффициента 101,5,Кадры / HR
не выплачены суточные за командировку сотрудника 16,5,Кадры / HR
оформить внутреннее совместительство сотруднику 7,5,Кадры / HR
ошибка в коде подразделения трудовой книжке 25,5,Кадры / HR
сотрудник 201 сменил фамилию требуется переоформление,5,Кадры / HR
требуется провести собеседование на вакансию 105,5,Кадры / HR
не подписан приказ о назначении наставника для 104,5,Кадры / HR
не проведена плановая аттестация специалистов 7,5,Кадры / HR
не оплачен сверхурочный час 104 у сотрудника 10,5,Кадры / HR
требуется справка 15 н для службы занятости,5,Кадры / HR
оформление дополнительного отпуска за вредность 103,5,Кадры / HR
перевод сотрудника 102 на другую должность,5,Кадры / HR
требуется справка для банка от сотрудника 12,5,Кадры / HR
не оформлено повышение квалификации в трудовой 20,5,Кадры / HR
требуется оформить совмещение должностей 205,5,Кадры / HR
требуется закрыть вакансию срочно участок 24 остановлен,5,Кадры / HR
требуется расчет и выплата при выходе на пенсию 20,5,Кадры / HR
не зачтен стаж при расчете отпускных сотрудника 4,5,Кадры / HR
требуется продлить срочный трудовой договор сотрудника 8,5,Кадры / HR
требуется приказ о переводе сотрудника 8,5,Кадры / HR
требуется оформить перевод между подразделениями 3,5,Кадры / HR
изменение паспортных данных сотрудника 11 обновить,5,Кадры / HR
требуется продление испытательного срока сотрудника 1,5,Кадры / HR
требуется изменить норму рабочего времени 30,5,Кадры / HR
ошибка в приказе об отпуске сотрудника 25,5,Кадры / HR
требуется составить график отпусков на год 8,5,Кадры / HR
требуется получить характеристику на сотрудника 30,5,Кадры / HR
оформить дисциплинарное взыскание сотруднику 8,5,Кадры / HR
не предоставлен отпуск по уходу за ребенком 1,5,Кадры / HR
требуется оформить работника 3 как внешнего совместителя,5,Кадры / HR
не проведен инструктаж по локальным актам 104,5,Кадры / HR
ошибка в расчете выходного пособия 102,5,Кадры / HR
требуется уведомление о сокращении штата отдела 2,5,Кадры / HR
оформить дополнительный оплачиваемый день сотруднику 8,5,Кадры / HR
изменение условий трудового договора сотрудника 3,5,Кадры / HR
требуется справка о периодах работы для пенсионного фонда,5,Кадры / HR
сотрудник 205 не получил премию за квартал 2,5,Кадры / HR
требуется дополнительное соглашение к договору 204,5,Кадры / HR
оформить ежегодный медосмотр для сотрудников отдела 11,5,Кадры / HR
оформление декретного отпуска сотруднице 3,5,Кадры / HR
оформить больничный лист сотрудника 24,5,Кадры / HR
не выплачена доплата за расширение зоны обслуживания 8,5,Кадры / HR
не закрыта вакансия инженера 9 длительный срок,5,Кадры / HR
сотрудник 103 уволен требуется расчет,5,Кадры / HR
требуется переоформить трудовой договор в связи с реорганизацией,5,Кадры / HR
не выдан полис дмс новому сотруднику 22,5,Кадры / HR
не закрыт электронный листок нетрудоспособности 7,5,Кадры / HR
не начислена компенсация за неиспользованный отпуск 25,5,Кадры / HR
требуется изменить реквизиты для перечисления зарплаты 5,5,Кадры / HR
не оформлен ученический договор с сотрудником 105,5,Кадры / HR
внесение изменений в штатное расписание отдела 205,5,Кадры / HR
сотрудник 30 просит копию трудового договора,5,Кадры / HR
оформить материальную помощь сотруднику 30,5,Кадры / HR
не выдан расчетный листок за месяц 22,5,Кадры / HR
требуется обновить должностную инструкцию 8,5,Кадры / HR
требуется согласование нового штатного расписания,5,Кадры / HR
не включен стажер 202 в табель учета рабочего времени,5,Кадры / HR
вопрос расчету сверхурочных март,5,Кадры / HR
не внесены данные нового сотрудника 22 в 1с кадры,5,Кадры / HR
переоформление пропуска сотрудника 202,5,Кадры / HR
не проведена аттестация рабочего места 16,5,Кадры / HR
оформить простой по вине работодателя участку 7,5,Кадры / HR
сотрудник 4 отказывается подписывать ознакомление с приказом,5,Кадры / HR
ошибка в трудовой книжке сотрудника 4 исправить,5,Кадры / HR
ошибка в начислении индексации зарплаты 103,5,Кадры / HR
требуется справка о доходах для сотрудника 16,5,Кадры / HR
оформить частичную занятость сотруднику 12,5,Кадры / HR
не произведен зачет переплаты при расчете отпускных 16,5,Кадры / HR
ошибочно удержан ndfl из премии сотрудника 16,5,Кадры / HR
требуется уточнить дату выхода из декрета 20,5,Кадры / HR
требуется согласование сверхурочной работы 204,5,Кадры / HR
не оформлен отказ от дополнительного отпуска 105,5,Кадры / HR
оформить командировку для сотрудника 2 дата 103,5,Кадры / HR
